game,total_reward
1,9.0
2,3.0
3,16.0
4,8.0
5,18.0
6,6.0
7,4.0
8,11.0
9,4.0
10,12.0
11,7.0
12,11.0
13,11.0
14,6.0
15,1.0
16,11.0
17,9.0
18,8.0
19,6.0
20,8.0
21,8.0
22,6.0
23,5.0
24,4.0
25,16.0
26,10.0
27,11.0
28,8.0
29,9.0
30,14.0
31,7.0
32,18.0
33,13.0
34,16.0
35,10.0
36,16.0
37,9.0
38,13.0
39,17.0
40,9.0
41,8.0
42,14.0
43,8.0
44,15.0
45,11.0
46,16.0
47,21.0
48,6.0
49,17.0
50,15.0
51,16.0
52,14.0
53,14.0
54,8.0
55,20.0
56,9.0
57,11.0
58,27.0
59,16.0
60,19.0
61,17.0
62,15.0
63,10.0
64,17.0
65,13.0
66,9.0
67,7.0
68,13.0
69,18.0
70,10.0
71,15.0
72,22.0
73,23.0
74,9.0
75,25.0
76,7.0
77,34.0
78,28.0
79,17.0
80,27.0
81,23.0
82,24.0
83,29.0
84,19.0
85,9.0
86,11.0
87,15.0
88,17.0
89,17.0
90,30.0
91,16.0
92,19.0
93,14.0
94,12.0
95,22.0
96,26.0
97,23.0
98,34.0
99,22.0
100,22.0
101,17.0
102,27.0
103,18.0
104,23.0
105,32.0
106,25.0
107,23.0
108,33.0
109,24.0
110,23.0
111,20.0
112,18.0
113,11.0
114,20.0
115,23.0
116,29.0
117,30.0
118,16.0
119,22.0
120,16.0
121,20.0
122,28.0
123,22.0
124,32.0
125,15.0
126,14.0
127,8.0
128,29.0
129,5.0
130,15.0
131,27.0
132,18.0
133,22.0
134,19.0
135,14.0
136,9.0
137,11.0
138,20.0
139,18.0
140,18.0
141,25.0
142,33.0
143,18.0
144,30.0
145,23.0
146,25.0
147,23.0
148,15.0
149,30.0
150,13.0
151,30.0
152,33.0
153,24.0
154,12.0
155,21.0
156,34.0
157,18.0
158,23.0
159,33.0
160,32.0
161,30.0
162,13.0
163,28.0
164,18.0
165,19.0
166,13.0
167,15.0
168,28.0
169,8.0
170,17.0
171,16.0
172,11.0
173,30.0
174,7.0
175,15.0
176,17.0
177,6.0
178,36.0
179,14.0
180,15.0
181,11.0
182,13.0
183,23.0
184,10.0
185,20.0
186,26.0
187,22.0
188,24.0
189,7.0
190,14.0
191,29.0
192,29.0
193,23.0
194,17.0
195,28.0
196,11.0
197,12.0
198,10.0
199,15.0
200,22.0
201,22.0
202,13.0
203,20.0
204,16.0
205,23.0
206,22.0
207,24.0
208,24.0
209,20.0
210,20.0
211,20.0
212,25.0
213,21.0
214,31.0
215,17.0
216,36.0
217,26.0
218,30.0
219,25.0
220,22.0
221,26.0
222,27.0
223,16.0
224,15.0
225,28.0
226,29.0
227,26.0
228,26.0
229,26.0
230,25.0
231,14.0
232,31.0
233,9.0
234,23.0
235,17.0
236,23.0
237,23.0
238,25.0
239,26.0
240,22.0
241,26.0
242,16.0
243,29.0
244,22.0
245,22.0
246,21.0
247,31.0
248,27.0
249,26.0
250,23.0
251,37.0
252,21.0
253,28.0
254,31.0
255,28.0
256,9.0
257,13.0
258,35.0
259,16.0
260,24.0
261,16.0
262,26.0
263,16.0
264,17.0
265,15.0
266,27.0
267,28.0
268,19.0
269,15.0
270,9.0
271,21.0
272,6.0
273,24.0
274,8.0
275,11.0
276,23.0
277,10.0
278,15.0
279,19.0
280,26.0
281,18.0
282,7.0
283,19.0
284,21.0
285,15.0
286,18.0
287,13.0
288,15.0
289,7.0
290,12.0
291,5.0
